id;title;description;due_date;done
1;Industrial;connect Markets Chief;2019-08-07;true
2;archive Georgia Aruba;software scale interactive;2019-08-06;true
3;Specialist Home Loan Account;Plastic;2019-08-06;false
4;Industrial;index orange;2019-08-07;false
5;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;2019-08-06;true
6;Highway Ergonomic;moratorium moratorium;2019-08-06;true
7;tangible Mississippi;Frozen bus;2019-08-06;true
8;Robust Networked;Poland;2019-08-07;false
9;partnerships;Outdoors;2019-08-07;false
10;Montana;Corporate Phased relationships;2019-08-06;false
